,UserId,ProductId,hybrid_score
7,AOVROBZ8BNTP7,B001EO5QW8,0.49445333333333336
17,A27TKQHFW0FB5N,B001GVISJC,0.06904761904761904
74,A37AO20OXS51QA,B001UJEN6C,0.22340190476190477
80,A2LFHPZFG1OHBZ,B001UJEN6C,0.09207851851851852
106,ALSAOZ1V546VT,B001ELL6O8,0.40356333333333333
117,A30H2335OM7RD6,B000G6RYNE,0.08224046896086369
125,A1MFG9E45RX5OW,B000G6RYNE,-0.060979490384615406
128,AY1EF0GOH80EK,B000G6RYNE,0.07551666666666666
132,A3RMGIKUWGPZOK,B000G6RYNE,-0.10803333333333333
133,A2TN9C5E4A0I3F,B000G6RYNE,0.15007620833333335
137,A14SOW889A4TAT,B000G6RYNE,0.10579200000000002
139,A14HZ5EMD2WCG,B000G6RYNE,0.014797610514485518
143,AR7TAEEUDHMUB,B000G6RYNE,0.2982536666666667
145,AG7EF0SVBQOUX,B000G6RYNE,0.2395580769230769
147,A3RMGIKUWGPZOK,B000G6RYNE,-0.0027728888888888907
152,A1Q7A78VSQ5GQ4,B000G6RYNE,0.219402
155,A2A8KWCE8RKB9T,B000G6RYNE,0.12493725
161,A3PSJEB2O37G8U,B000G6RYNE,0.12269761904761906
162,A24ZV048V7J0MT,B000G6RYNE,-0.23362076923076922
169,A2YKWYC3WQJX5J,B000G6RYNE,0.3193493333333333
171,AKMEY1BSHSDG7,B000G6RYNE,-0.09579545454545454
174,A3M174IC0VXOS2,B000G6RYNE,0.26949999999999996
175,A3M2VGWFJGRUOH,B000G6RYNE,0.1630479338842975
177,A3U58GFUQAOZLE,B002BCD2OG,0.695808
178,AUI3N3A5AYO3M,B002BCD2OG,-0.1423125
179,A3QFVEQNX2FQ8P,B000G6MBX2,0.10819666666666665
182,A2MIJOZVTWEXP2,B000G6MBX2,0.22699474285714288
187,A1WX42M589VAMQ,B000G6MBX2,0.372125625
189,A1AQ2W2R4SOVGN,B000G6MBX2,0.11625428571428573
191,A1ABDQ02BCIGYQ,B000G6MBX2,0.10034095238095239
198,A3KJ6JZ8MWERPG,B001HTKZ5S,0.47725
211,A36MP37DITBU6F,B0018DQFPC,0.26062950000000007
221,A2DRQBOGCTC5HP,B0002XIB2Y,-0.012583825396825407
225,A3RB2ZB2KGRZVE,B001EQ4DVQ,0.34288874999999996
276,A1JOEJLEL2KJE2,B001TZSDJK,-0.06384101298701297
279,A1G51N43M000F7,B001GCVLXG,0.39943801652892563
290,A19U4T4I7UZGNM,B0030N5K1I,0.3703157272727273
291,A2058UP7ATXFOF,B0030N5K1I,0.5022000000000001
292,A2058UP7ATXFOF,B0030N5K1I,0.31265499999999996
293,A19U4T4I7UZGNM,B0030N5K1I,0.6103999999999999
294,A3B8CF4V636M8U,B0025ULYKI,0.49245
298,ACYR6O588USK,B0025ULYKI,0.19957291666666668
304,ADLVFFE4VBT8,B0028SWACS,0.17192412698412696
324,AL3EQN8HMELY2,B001HTI226,0.1649204081632653
326,A2OWR5G2OAQF7C,B001HTI226,0.2184075757575758
330,AJGU56YG8G1DQ,B00283V4GQ,0.09820999999999998
355,A1NXGRAQROM9AL,B001FA1L7U,0.22670999999999997
375,A2N3BRPS0NS7FF,B0013JQON4,0.2084625
376,AYGJ96W5KQMUJ,B0013JQON4,0.4028888888888888
383,A281NPSIMI1C2R,B00068PCTU,-0.03420000000000001
399,A3NID9D9WMIV01,B0040WHJQM,0.40999111111111103
400,AF42HX1CY5TTA,B0040WHJQM,0.1820639015151515
407,A1WJ8U24MI7RUZ,B00132EDUW,0.184962
413,A1E7G56OX03JKO,B002JLT6QC,0.67005
426,A3S47IH20RNWHK,B000E7WM0K,0.4716
431,A1MJSWI87ZME83,B000E7WM0K,0.017225524691358025
